Brand,Model,Fuel_Type,Mileage
Tata Motors,Nexon,Electric,20.8
Toyota,Innova,Electric,20.2
Volkswagen,Polo,CNG,10.6
Honda,Civic,CNG,18.2
Maruti Suzuki,Baleno,Diesel,26.0
Hyundai,Verna,Diesel,16.6
Hyundai,Creta,Electric,14.2
Toyota,Innova,Diesel,29.9
Maruti Suzuki,Ertiga,Diesel,22.9
Skoda,Kushaq,Petrol,20.7
Tata Motors,Tiago,Diesel,10.5
Mahindra,Thar,Petrol,21.7
Tata Motors,Altroz,Petrol,28.8
Toyota,Urban Cruiser,Electric,11.8
Skoda,Kushaq,Electric,16.0
Tata Motors,Nexon,Diesel,25.1
Kia,Carens,Petrol,23.5
Honda,Amaze,Diesel,18.1
Honda,Amaze,Diesel,17.8
Maruti Suzuki,Baleno,Electric,24.4
Maruti Suzuki,Ertiga,Petrol,20.5
Maruti Suzuki,Baleno,Petrol,27.4
Maruti Suzuki,Baleno,CNG,25.6
Hyundai,Venue,Petrol,29.4
Honda,Amaze,Electric,12.0
Honda,Jazz,CNG,11.1
Toyota,Innova,Electric,22.0
Kia,Sonet,Diesel,25.6
Honda,Jazz,CNG,27.7
Honda,WR-V,Electric,13.0
Toyota,Innova,Diesel,22.2
Skoda,Slavia,Electric,16.9
Toyota,Urban Cruiser,CNG,16.7
Renault,Lodgy,Petrol,28.7
Honda,City,Electric,26.0
Skoda,Kushaq,Diesel,22.0
Renault,Kiger,Petrol,19.2
Kia,EV6,Diesel,29.6
Renault,Kwid,CNG,12.2
Mahindra,Scorpio,Diesel,27.8
Maruti Suzuki,Dzire,CNG,25.8
Skoda,Rapid,Diesel,27.0
Honda,Civic,Petrol,17.4
Tata Motors,Harrier,Petrol,25.7
Kia,Carnival,Diesel,23.9
Mahindra,XUV700,Diesel,17.5
Hyundai,Verna,Electric,20.8
Skoda,Kushaq,CNG,27.8
Maruti Suzuki,Ertiga,CNG,28.0
Honda,City,Electric,14.4
Kia,Carens,CNG,22.7
Honda,City,CNG,17.7
Skoda,Superb,Electric,17.7
Honda,Civic,Diesel,18.1
Toyota,Glanza,Electric,27.7
Renault,Duster,Petrol,17.9
Volkswagen,Vento,Electric,24.6
Volkswagen,Polo,CNG,24.2
Mahindra,XUV700,Petrol,24.9
Volkswagen,Polo,Diesel,19.5
Honda,Civic,Electric,29.9
Renault,Lodgy,Diesel,19.1
Hyundai,i20,Electric,23.4
Skoda,Superb,Electric,10.6
Volkswagen,Taigun,Electric,10.9
Kia,Sonet,Petrol,23.3
Kia,Seltos,CNG,18.8
Mahindra,Bolero,Petrol,29.7
Kia,Seltos,CNG,26.7
Skoda,Kushaq,Electric,21.4
Honda,Amaze,Diesel,28.0
Volkswagen,Vento,CNG,21.7
Mahindra,XUV700,Petrol,10.9
Renault,Kiger,Petrol,16.9
Renault,Kwid,Petrol,18.4
Toyota,Glanza,Diesel,15.9
Renault,Kiger,Electric,24.5
Mahindra,XUV300,Diesel,22.4
Renault,Kwid,CNG,10.4
Mahindra,Scorpio,Electric,26.0
Mahindra,Scorpio,Electric,16.3
Maruti Suzuki,Ertiga,CNG,19.5
Hyundai,i10,CNG,12.1
Skoda,Superb,CNG,22.7
Volkswagen,Vento,Petrol,11.1
Mahindra,Bolero,CNG,10.4
Volkswagen,Vento,Petrol,24.3
Toyota,Urban Cruiser,Petrol,16.3
Maruti Suzuki,Baleno,Electric,27.8
Kia,Carens,Electric,29.6
Hyundai,Verna,Electric,28.2
Toyota,Innova,Electric,25.9
Tata Motors,Tiago,Electric,12.6
Honda,Amaze,Diesel,22.0
Kia,Seltos,Petrol,23.9
Volkswagen,Polo,CNG,14.0
Kia,EV6,Diesel,23.6
Tata Motors,Tiago,Petrol,29.7
Renault,Triber,Diesel,18.6
Mahindra,Bolero,Petrol,10.1
Hyundai,Creta,Electric,13.7
Hyundai,Venue,CNG,29.2
Mahindra,Thar,Diesel,20.1
Toyota,Fortuner,Petrol,15.7
Honda,Amaze,Diesel,22.2
Honda,Civic,Electric,18.7
Renault,Lodgy,Electric,24.7
Toyota,Glanza,Electric,12.0
Volkswagen,Tiguan,Petrol,28.1
Skoda,Kushaq,Electric,18.1
Skoda,Superb,Electric,13.5
Honda,Civic,Diesel,23.6
Toyota,Urban Cruiser,Petrol,25.2
Kia,EV6,Diesel,19.9
Volkswagen,Vento,Electric,25.6
Hyundai,Venue,Electric,13.6
Hyundai,i10,Electric,15.1
Honda,WR-V,Diesel,16.3
Kia,Carens,CNG,16.0
Mahindra,XUV300,Electric,17.3
Hyundai,i20,CNG,28.7
Volkswagen,Polo,Electric,20.1
Renault,Duster,Petrol,20.2
Renault,Triber,Diesel,25.2
Renault,Triber,CNG,27.0
Skoda,Octavia,Electric,14.0
Renault,Kwid,Petrol,18.3
Skoda,Rapid,Electric,19.6
Kia,EV6,Electric,21.6
Tata Motors,Harrier,Electric,17.0
Mahindra,Thar,CNG,22.3
Volkswagen,Virtus,Electric,27.7
Toyota,Glanza,Electric,13.4
Honda,City,Diesel,28.2
Hyundai,i20,Petrol,29.0
Tata Motors,Nexon,Diesel,12.9
Hyundai,i10,CNG,12.3
Volkswagen,Taigun,Diesel,20.9
Skoda,Rapid,Diesel,28.5
Skoda,Kushaq,Petrol,14.6
Skoda,Slavia,CNG,11.3
Mahindra,XUV700,CNG,21.2
Honda,Amaze,Electric,27.6
Tata Motors,Punch,Electric,10.2
Toyota,Camry,Petrol,24.6
Mahindra,XUV300,Diesel,11.4
Kia,Sonet,CNG,13.5
Toyota,Camry,Electric,24.5
Maruti Suzuki,Dzire,Electric,11.0
Tata Motors,Harrier,Petrol,19.3
Toyota,Innova,Diesel,10.2
Tata Motors,Harrier,Petrol,19.8
Hyundai,Creta,Diesel,21.9
Mahindra,XUV300,Petrol,28.6
Honda,Jazz,CNG,11.0
Kia,Sonet,Petrol,28.8
Volkswagen,Polo,Petrol,27.7
Honda,City,Diesel,11.1
Hyundai,Creta,CNG,14.2
Hyundai,Creta,Petrol,24.7
Tata Motors,Punch,Electric,11.8
Maruti Suzuki,Ertiga,Electric,15.5
Renault,Kwid,Electric,10.4
Renault,Kiger,Electric,14.3
Hyundai,i20,Electric,17.4
Mahindra,XUV300,CNG,19.8
Honda,WR-V,Diesel,12.0
Skoda,Rapid,CNG,14.3
Maruti Suzuki,WagonR,Petrol,17.3
Kia,Sonet,Petrol,23.4
Toyota,Glanza,CNG,24.1
Volkswagen,Polo,Diesel,13.8
Honda,Amaze,Diesel,22.3
Honda,Civic,Petrol,14.6
Kia,Sonet,Petrol,15.9
Volkswagen,Virtus,Diesel,26.9
Renault,Kwid,Electric,25.4
Maruti Suzuki,WagonR,Electric,24.7
Honda,WR-V,Petrol,25.1
Mahindra,Scorpio,Diesel,12.3
Tata Motors,Tiago,CNG,23.9
Mahindra,Scorpio,Petrol,15.9
Maruti Suzuki,Swift,CNG,21.2
Hyundai,Creta,Electric,15.9
Toyota,Camry,Petrol,11.7
Maruti Suzuki,Baleno,Diesel,24.8
Renault,Duster,Electric,11.8
Maruti Suzuki,Swift,Diesel,25.5
Kia,Carnival,CNG,26.1
Mahindra,XUV700,Diesel,17.7
Renault,Kiger,CNG,24.2
Toyota,Glanza,Electric,17.7
Toyota,Fortuner,Diesel,27.2
Kia,Carnival,CNG,18.4
Tata Motors,Nexon,Electric,11.0
Maruti Suzuki,Swift,CNG,24.7
Volkswagen,Taigun,Diesel,11.8
Renault,Triber,Diesel,19.4
Kia,EV6,Electric,10.0
Toyota,Urban Cruiser,CNG,17.8
Skoda,Kushaq,CNG,26.1
Maruti Suzuki,Ertiga,Diesel,15.0
Skoda,Slavia,Petrol,13.3
Mahindra,Scorpio,Electric,16.1
Volkswagen,Vento,Electric,15.3
Skoda,Octavia,Petrol,21.9
Maruti Suzuki,Baleno,Diesel,29.6
Renault,Duster,CNG,16.0
Volkswagen,Vento,Diesel,22.9
Kia,Carens,Diesel,10.9
Skoda,Rapid,CNG,10.3
Renault,Kiger,CNG,18.7
Maruti Suzuki,Baleno,CNG,13.4
Kia,Sonet,Electric,13.2
Tata Motors,Tiago,CNG,18.2
Maruti Suzuki,WagonR,CNG,26.6
Kia,EV6,CNG,18.8
Maruti Suzuki,Ertiga,Electric,15.9
Maruti Suzuki,WagonR,Diesel,11.0
Renault,Kwid,Electric,22.9
Toyota,Camry,Diesel,28.5
Hyundai,i20,Diesel,14.6
Toyota,Innova,Petrol,21.0
Toyota,Urban Cruiser,Petrol,11.6
Mahindra,XUV300,Petrol,19.8
Toyota,Glanza,Electric,25.8
Honda,Amaze,Petrol,22.1
Kia,Seltos,Electric,23.4
Maruti Suzuki,Dzire,Petrol,29.9
Toyota,Urban Cruiser,CNG,23.0
Volkswagen,Tiguan,Petrol,29.3
Mahindra,Bolero,Electric,14.9
Maruti Suzuki,Baleno,Diesel,19.6
Tata Motors,Punch,Electric,17.2
Tata Motors,Punch,Electric,18.9
Kia,Seltos,Diesel,13.1
Kia,Seltos,Petrol,16.8
Maruti Suzuki,Swift,Petrol,10.2
Toyota,Glanza,Diesel,27.0
Tata Motors,Harrier,Electric,12.3
Tata Motors,Punch,CNG,24.8
Skoda,Octavia,Diesel,27.0
Honda,Jazz,Electric,11.8
Maruti Suzuki,Ertiga,Electric,17.5
Maruti Suzuki,WagonR,CNG,26.2
Maruti Suzuki,Ertiga,Petrol,16.0
Kia,Carens,CNG,17.4
Volkswagen,Virtus,Diesel,29.7
Tata Motors,Nexon,Petrol,24.5
Maruti Suzuki,Dzire,Diesel,19.3
Volkswagen,Tiguan,Diesel,28.6
Mahindra,Bolero,CNG,22.2
Maruti Suzuki,Swift,Electric,11.7
Mahindra,Bolero,CNG,19.6
Honda,City,Diesel,19.3
Renault,Kwid,CNG,18.2
Toyota,Fortuner,Petrol,13.1
Hyundai,Creta,Diesel,21.1
Skoda,Superb,Diesel,11.0
Toyota,Fortuner,CNG,16.3
Tata Motors,Altroz,Diesel,21.5
Mahindra,Scorpio,Petrol,15.6
Volkswagen,Vento,Electric,14.2
Hyundai,Venue,Petrol,16.1
Volkswagen,Polo,CNG,22.7
Tata Motors,Harrier,CNG,18.0
Tata Motors,Nexon,CNG,28.7
Tata Motors,Nexon,Petrol,19.9
Mahindra,XUV300,Petrol,21.9
Toyota,Fortuner,Diesel,14.5
Tata Motors,Nexon,Diesel,24.6
Hyundai,i10,CNG,20.2
Renault,Duster,Petrol,21.9
Renault,Kwid,CNG,10.2
Skoda,Kushaq,Electric,12.0
Tata Motors,Punch,CNG,21.0
Volkswagen,Taigun,Electric,10.8
Maruti Suzuki,Dzire,Electric,15.9
Renault,Kiger,Electric,12.7
Kia,Sonet,Electric,11.4
Honda,City,Petrol,22.7
Honda,Civic,Electric,13.0
Honda,Jazz,CNG,18.4
Kia,Seltos,Electric,23.1
Kia,Carens,Diesel,18.0
Maruti Suzuki,WagonR,CNG,22.5
Renault,Kiger,Electric,21.9
Skoda,Octavia,Petrol,16.4
Mahindra,Bolero,Electric,14.3
Hyundai,Creta,Petrol,16.1
Toyota,Glanza,Electric,23.6
Tata Motors,Tiago,Diesel,22.0
Volkswagen,Polo,Diesel,22.6
Maruti Suzuki,Swift,Electric,18.3
Hyundai,Venue,Electric,16.0
Skoda,Superb,CNG,23.5
Honda,WR-V,Electric,18.8
Hyundai,Creta,CNG,24.7
Toyota,Glanza,Diesel,20.5
Volkswagen,Virtus,Electric,16.0
Honda,WR-V,Electric,15.5
Mahindra,Scorpio,CNG,27.1
Volkswagen,Taigun,Electric,16.6
Renault,Duster,Diesel,18.1
Volkswagen,Polo,Diesel,18.4
Toyota,Camry,CNG,26.6
Skoda,Slavia,CNG,14.6
Renault,Duster,Petrol,14.4
Hyundai,Creta,Diesel,13.0
Hyundai,i20,Petrol,21.9
Mahindra,XUV300,Petrol,14.3
Honda,Civic,Diesel,16.7
Tata Motors,Altroz,Petrol,10.7
Mahindra,Bolero,CNG,27.9
Hyundai,i20,Petrol,10.8
Toyota,Glanza,CNG,18.7
Tata Motors,Tiago,CNG,18.1
Kia,EV6,Diesel,14.3
Toyota,Innova,Electric,23.8
Volkswagen,Polo,Electric,12.7
Toyota,Camry,Electric,24.2
Tata Motors,Altroz,CNG,29.2
Mahindra,Scorpio,Electric,23.6
Skoda,Superb,CNG,11.5
Tata Motors,Harrier,Diesel,24.6
Mahindra,Thar,Diesel,15.4
Skoda,Octavia,Diesel,20.7
Renault,Lodgy,CNG,28.8
Maruti Suzuki,WagonR,Diesel,23.0
Hyundai,i10,Electric,27.0
Maruti Suzuki,Swift,Petrol,14.8
Tata Motors,Nexon,Diesel,23.4
Renault,Lodgy,CNG,27.6
Mahindra,Thar,Petrol,18.4
Kia,Seltos,CNG,16.8
Tata Motors,Punch,Diesel,11.1
Skoda,Slavia,CNG,15.6
Skoda,Octavia,Petrol,12.7
Skoda,Octavia,Diesel,22.6
Toyota,Camry,CNG,17.0
Mahindra,XUV300,Petrol,23.6
Hyundai,i20,CNG,10.2
Hyundai,Venue,CNG,16.8
Skoda,Octavia,Electric,14.0
Kia,Carens,CNG,26.3
Skoda,Superb,Diesel,10.1
Kia,Sonet,Electric,13.7
Skoda,Rapid,Electric,11.1
Tata Motors,Tiago,Petrol,14.1
Skoda,Kushaq,Petrol,15.0
Skoda,Superb,Petrol,28.7
Toyota,Glanza,Diesel,28.2
Kia,Carens,Diesel,24.5
Renault,Kiger,Petrol,10.9
Maruti Suzuki,Baleno,Petrol,25.0
Skoda,Kushaq,Electric,26.2
Volkswagen,Tiguan,CNG,16.8
Volkswagen,Tiguan,Petrol,10.2
Mahindra,Thar,Electric,25.8
Honda,Jazz,Diesel,28.2
Toyota,Camry,Petrol,23.5
Volkswagen,Taigun,Diesel,26.3
Honda,Amaze,Diesel,13.3
Skoda,Superb,Petrol,23.8
Skoda,Slavia,Electric,23.3
Skoda,Slavia,Petrol,26.0
Honda,Civic,Petrol,29.1
Kia,EV6,CNG,15.2
Renault,Lodgy,CNG,17.6
Maruti Suzuki,WagonR,Diesel,12.5
Hyundai,Creta,Diesel,14.5
Toyota,Glanza,CNG,19.4
Toyota,Glanza,Diesel,14.4
Tata Motors,Harrier,Petrol,16.9
Toyota,Fortuner,Diesel,25.3
Renault,Duster,Electric,11.3
Kia,Sonet,CNG,21.7
Hyundai,Venue,Petrol,29.7
Toyota,Camry,CNG,18.3
Skoda,Slavia,Petrol,14.4
Mahindra,Scorpio,Diesel,23.8
Mahindra,XUV700,Electric,12.7
Honda,Civic,Diesel,12.0
Skoda,Rapid,Electric,29.8
Hyundai,i20,Petrol,20.9
Mahindra,XUV300,CNG,13.6
Maruti Suzuki,WagonR,CNG,10.4
Renault,Kiger,CNG,26.8
Kia,Carens,CNG,11.8
Maruti Suzuki,Baleno,Diesel,10.3
Mahindra,Bolero,CNG,11.3
Mahindra,Bolero,Electric,19.0
Tata Motors,Nexon,Diesel,19.0
Tata Motors,Punch,Electric,17.6
Mahindra,Scorpio,CNG,24.9
Honda,Civic,CNG,18.2
Renault,Lodgy,Diesel,13.1
Skoda,Rapid,Petrol,29.5
Mahindra,Bolero,Electric,20.6
Renault,Kiger,CNG,29.9
Maruti Suzuki,Ertiga,Diesel,25.5
Maruti Suzuki,Dzire,Electric,13.4
Mahindra,Scorpio,CNG,17.8
Hyundai,i10,Petrol,29.1
Volkswagen,Virtus,Diesel,17.7
Renault,Kwid,CNG,14.8
Tata Motors,Nexon,Diesel,21.7
Toyota,Fortuner,Electric,22.1
Kia,Seltos,Diesel,28.8
Kia,Carens,Diesel,12.0
Toyota,Camry,CNG,20.2
Maruti Suzuki,Dzire,Petrol,13.6
Skoda,Octavia,Diesel,22.1
Toyota,Glanza,Diesel,10.8
Tata Motors,Tiago,Diesel,29.0
Kia,Seltos,CNG,11.7
Renault,Duster,Diesel,21.3
Toyota,Camry,Electric,25.8
Skoda,Kushaq,CNG,21.0
Skoda,Slavia,Petrol,20.5
Kia,Seltos,CNG,24.2
Volkswagen,Taigun,CNG,17.3
Hyundai,i20,CNG,12.0
Hyundai,i20,Electric,16.8
Renault,Kwid,Diesel,27.8
Mahindra,Thar,CNG,20.8
Tata Motors,Harrier,Electric,26.7
Hyundai,Verna,CNG,13.4
Skoda,Octavia,Electric,10.5
Maruti Suzuki,WagonR,Diesel,13.2
Tata Motors,Altroz,Diesel,11.7
Hyundai,Venue,CNG,11.9
Hyundai,Creta,Electric,18.6
Toyota,Fortuner,CNG,23.9
Kia,Carens,CNG,19.7
Mahindra,Bolero,Electric,23.7
Maruti Suzuki,Baleno,Electric,19.6
Honda,City,Diesel,22.1
Volkswagen,Taigun,Petrol,11.0
Skoda,Slavia,Petrol,12.8
Volkswagen,Tiguan,Petrol,14.9
Maruti Suzuki,Swift,Diesel,17.4
Tata Motors,Altroz,Petrol,14.7
Kia,Sonet,Diesel,28.4
Renault,Duster,Electric,23.8
Honda,WR-V,CNG,12.7
Skoda,Rapid,CNG,16.2
Toyota,Glanza,Diesel,20.8
Skoda,Octavia,Diesel,24.0
Tata Motors,Nexon,CNG,19.8
Maruti Suzuki,WagonR,Petrol,11.7
Kia,Carens,Petrol,15.7
Tata Motors,Punch,Petrol,13.5
Mahindra,Bolero,Diesel,22.7
Mahindra,XUV700,Petrol,13.5
Maruti Suzuki,WagonR,Diesel,23.1
Tata Motors,Harrier,Petrol,28.5
Maruti Suzuki,WagonR,Petrol,11.9
Mahindra,Thar,Electric,20.2
Tata Motors,Punch,CNG,22.0
Toyota,Camry,Diesel,24.0
Tata Motors,Nexon,Diesel,13.2
Hyundai,Creta,Diesel,24.3
Maruti Suzuki,Dzire,Petrol,11.4
Tata Motors,Tiago,CNG,27.2
Skoda,Kushaq,CNG,27.2
Mahindra,XUV700,Petrol,22.8
Tata Motors,Nexon,Electric,23.8
Mahindra,Bolero,Electric,15.4
Honda,Jazz,Electric,13.7
Maruti Suzuki,Swift,Electric,29.8
Toyota,Urban Cruiser,Electric,11.3
Tata Motors,Punch,Electric,22.2
Skoda,Rapid,Electric,13.7
Hyundai,i20,CNG,11.7
Kia,EV6,CNG,18.7
Volkswagen,Tiguan,CNG,28.9
Toyota,Innova,Petrol,11.0
Maruti Suzuki,Dzire,Petrol,21.9
Volkswagen,Tiguan,CNG,11.0
Kia,Sonet,Diesel,25.1
Toyota,Fortuner,CNG,10.4
Honda,City,Diesel,24.7
Volkswagen,Vento,CNG,28.1
Kia,Carens,Petrol,27.9
Toyota,Glanza,Petrol,11.1
Toyota,Camry,Electric,20.0
Honda,Amaze,Petrol,12.7
Skoda,Superb,Electric,20.8
Tata Motors,Tiago,Petrol,11.1
Honda,WR-V,Electric,27.0
Maruti Suzuki,Baleno,Electric,21.1
Honda,Jazz,CNG,10.7
Toyota,Urban Cruiser,CNG,14.8
Maruti Suzuki,Baleno,Petrol,18.0
Honda,Civic,Diesel,16.4
Skoda,Superb,Petrol,17.6
Hyundai,i20,Electric,18.5
Skoda,Kushaq,Petrol,27.3
Mahindra,XUV700,Diesel,14.4
Volkswagen,Polo,Electric,12.6
Maruti Suzuki,Ertiga,Petrol,18.4
Volkswagen,Virtus,Electric,10.9
Tata Motors,Nexon,Petrol,25.8
Volkswagen,Tiguan,Petrol,16.2
Mahindra,XUV300,Electric,23.2
Kia,EV6,Diesel,28.5
Skoda,Slavia,Diesel,22.2
Kia,EV6,Petrol,21.9
Skoda,Octavia,Electric,22.0
Skoda,Kushaq,Electric,18.9
Hyundai,Venue,Diesel,18.1
Kia,Seltos,Petrol,13.2
Hyundai,Venue,Petrol,25.8
Skoda,Slavia,Petrol,16.1
Hyundai,i10,Electric,10.3
Toyota,Camry,Diesel,25.7
Volkswagen,Vento,CNG,12.1
Honda,Amaze,Diesel,24.5
Mahindra,XUV700,Petrol,17.5
Maruti Suzuki,WagonR,CNG,20.2
Hyundai,Creta,CNG,24.3
Skoda,Rapid,Electric,17.8
Mahindra,Thar,Petrol,24.6
Mahindra,XUV700,Diesel,11.5
Tata Motors,Harrier,Petrol,15.8
Hyundai,Verna,Diesel,27.1
Skoda,Superb,Diesel,18.4
Tata Motors,Altroz,Diesel,25.9
Tata Motors,Altroz,Electric,25.8
Volkswagen,Vento,Diesel,11.6
Mahindra,XUV700,CNG,23.0
Volkswagen,Polo,Diesel,18.5
Volkswagen,Vento,Electric,19.8
Volkswagen,Vento,Petrol,28.3
Tata Motors,Altroz,Electric,14.3
Maruti Suzuki,Swift,Electric,15.1
Mahindra,Thar,Diesel,20.5
Mahindra,Thar,CNG,21.7
Renault,Triber,CNG,17.7
Tata Motors,Tiago,Petrol,28.9
Hyundai,Venue,Diesel,27.9
Skoda,Slavia,Electric,16.0
Volkswagen,Polo,Electric,24.6
Toyota,Glanza,Petrol,15.2
Skoda,Kushaq,Petrol,19.0
Maruti Suzuki,Dzire,Diesel,11.4
Toyota,Innova,Petrol,26.8
Tata Motors,Altroz,Diesel,16.1
Volkswagen,Tiguan,Diesel,21.3
Honda,Jazz,Diesel,17.8
Skoda,Superb,Electric,24.6
Mahindra,XUV700,Electric,13.8
Maruti Suzuki,WagonR,Diesel,11.7
Tata Motors,Harrier,Diesel,19.6
Renault,Kwid,CNG,20.6
Maruti Suzuki,Ertiga,CNG,18.2
Honda,City,Petrol,25.7
Kia,EV6,Electric,23.8
Maruti Suzuki,Ertiga,Electric,28.0
Hyundai,Venue,CNG,11.9
Toyota,Innova,Diesel,18.8
Hyundai,Verna,Electric,24.2
Mahindra,Bolero,CNG,18.4
Volkswagen,Taigun,CNG,10.6
Maruti Suzuki,Swift,Diesel,17.7
Toyota,Fortuner,Petrol,13.2
Toyota,Innova,Petrol,14.9
Skoda,Octavia,Diesel,25.0
Volkswagen,Virtus,Petrol,14.1
Skoda,Superb,Petrol,23.7
Hyundai,Verna,Diesel,23.4
Toyota,Urban Cruiser,Diesel,15.7
Kia,EV6,Electric,25.1
Volkswagen,Vento,Electric,26.8
Honda,City,Electric,11.2
Honda,City,Electric,28.1
Volkswagen,Vento,CNG,19.8
Mahindra,XUV300,Diesel,26.2
Honda,WR-V,CNG,23.6
Volkswagen,Virtus,Electric,12.2
Volkswagen,Polo,Petrol,18.8
Maruti Suzuki,Ertiga,Diesel,19.0
Skoda,Slavia,Diesel,27.4
Kia,Seltos,Electric,26.0
Maruti Suzuki,Swift,Electric,28.4
Maruti Suzuki,Swift,CNG,17.8
Tata Motors,Altroz,Electric,28.3
Hyundai,Creta,Diesel,10.0
Volkswagen,Virtus,Petrol,26.9
Maruti Suzuki,Ertiga,CNG,23.8
Maruti Suzuki,Swift,Petrol,20.0
Tata Motors,Altroz,Diesel,20.8
Maruti Suzuki,Ertiga,CNG,28.8
Volkswagen,Polo,CNG,23.8
Honda,Civic,Electric,14.7
Volkswagen,Virtus,Diesel,21.4
Mahindra,XUV300,Petrol,13.8
Renault,Lodgy,Diesel,28.3
Volkswagen,Taigun,CNG,20.9
Volkswagen,Polo,Diesel,18.4
Honda,Civic,Electric,20.4
Volkswagen,Tiguan,Petrol,11.6
Kia,Seltos,Diesel,18.9
Volkswagen,Taigun,CNG,22.5
Kia,Carnival,Diesel,24.0
Kia,Seltos,Diesel,14.9
Mahindra,Bolero,Electric,20.3
Honda,Jazz,Electric,12.3
Maruti Suzuki,Baleno,Electric,23.7
Hyundai,i20,Electric,10.9
Kia,Sonet,Diesel,17.6
Maruti Suzuki,Ertiga,CNG,16.7
Honda,City,CNG,11.6
Maruti Suzuki,WagonR,Petrol,27.4
Honda,Jazz,Petrol,19.8
Maruti Suzuki,Swift,Electric,21.4
Skoda,Octavia,CNG,16.6
Renault,Triber,CNG,20.5
Toyota,Camry,CNG,26.5
Honda,WR-V,Electric,29.8
Maruti Suzuki,Baleno,CNG,26.4
Mahindra,Scorpio,Diesel,25.0
Hyundai,Creta,Diesel,17.5
Mahindra,Thar,CNG,15.9
Volkswagen,Polo,CNG,23.2
Mahindra,Bolero,Petrol,26.6
Maruti Suzuki,Swift,CNG,26.1
Honda,Jazz,Diesel,26.3
Volkswagen,Taigun,Diesel,18.3
Toyota,Innova,Petrol,26.3
Hyundai,Venue,Diesel,29.8
Maruti Suzuki,Swift,Diesel,28.1
Toyota,Glanza,Electric,25.2
Tata Motors,Nexon,CNG,26.9
Hyundai,Venue,Diesel,16.9
Honda,City,Petrol,26.8
